n,name,shortname,standard,verdict,filters_passed,mean,max,match.var,match,RT.var,RT,count.air,freq.air,count.floral,freq.floral,count.leaf,freq.leaf,count.ambient,freq.ambient,filter_RT,filter_match,filter_freq.floral,filter_contaminant,filter_area,filter_ambient_ratio,ambient_ratio,filter_ambient_ttest,filter_final
1,.alpha.-acorenol,,,,3,96418,12535700,0.001344,0.74,6.7225,20.02,1,0.021,7,0.029,1.000,0.019,1,0.02127659574,High,Low,Rare,OK,OK,OK,5.1,tTestFail,FALSE
2,.alpha.-Cuprenene,,,,1,41818,964766,0.000182,0.72,0.0003,20.04,7,0.149,15,0.063,2.000,0.038,7,0.1489361702,High,Low,Rare,OK,Low,AmRatioFail,0.4,tTestFail,FALSE
3,.alpha.-Cyclogeraniol acetate,,,,4,763,183093,NA,0.74,NA,13.55,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
456,"1,3-Octadiene","1,3-octadiene",Hexenol,bis14,4,1141,70231,0.0022,0.79,0.00,5.24,0,0.000,6,0.025,1.000,0.019,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
5,.alpha.-Methyl-.alpha.-[4-methyl-3-pentenyl]oxiranemethanol,,,,5,121,28978,NA,0.80,NA,9.63,0,0.000,1,0.004,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
6,.alpha.-Methylstyrene,,,,5,4693,654248,0.0035,0.82,0.00,8.04,0,0.000,8,0.033,1.000,0.019,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
7,.alpha.-Pinene,,,,3,1389,90876,0.0047,0.83,0.80,8.96,1,0.021,5,0.021,1.000,0.019,1,0.02127659574,OK,OK,Rare,OK,Low,AmRatioFail,0.3,tTestFail,FALSE
8,.alpha.-Santalol,,,,2,92833,8431687,0.000757,0.73,4.0958,20.65,1,0.021,6,0.025,0.000,0.000,1,0.02127659574,High,Low,Rare,OK,OK,AmRatioFail,0.7,tTestFail,FALSE
9,.alpha.-Terpineol,,,,4,335,27783,0.0012,0.75,0.00,7.49,0,0.000,4,0.017,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
10,.alpha.-Terpinyl acetate,,,,4,44,10611,NA,0.71,NA,13.77,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
11,.alpha.-ylangene,,,,4,180,43098,NA,0.73,NA,14.70,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
12,".alpha.,.alpha.-Dichloroacetophenone",,,,2,678,102790,0.0002,0.71,8.17,13.46,1,0.021,2,0.008,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,0.4,tTestFail,FALSE
13,.beta.-Acorenol,,,,3,15513,2593641,0.000833,0.72,9.7076,20.04,0,0.000,3,0.013,0.000,0.000,0,0,High,Low,Rare,OK,Low,OK,Inf,OK,FALSE
