Name	year	RT.median
(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene	2018	7.189
(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene	2019	7.212
(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene	2020	7.189
(1S,5S,6R)-6-Methyl-2-methylene-6-(4-methylpent-3-en-1-yl)bicyclo[3.1.1]heptane	2018	15.048
(1S,5S,6R)-6-Methyl-2-methylene-6-(4-methylpent-3-en-1-yl)bicyclo[3.1.1]heptane	2019	15.065
(1S,5S,6R)-6-Methyl-2-methylene-6-(4-methylpent-3-en-1-yl)bicyclo[3.1.1]heptane	2020	15.042
(E)-4,8-Dimethylnona-1,3,7-triene	2018	10.242
(E)-4,8-Dimethylnona-1,3,7-triene	2019	10.256
(E)-4,8-Dimethylnona-1,3,7-triene	2020	10.295
(E)-4-Oxohex-2-enal	2018	7.597
(E)-4-Oxohex-2-enal	2019	7.596
(E)-4-Oxohex-2-enal	2020	7.5725
.alfa.-Copaene	2018	14.182
.alfa.-Copaene	2019	14.205
.alfa.-Copaene	2020	14.181
.alpha.-Campholenal	2018	11.582
.alpha.-Campholenal	2019	11.590499999999999
.alpha.-Campholenal	2020	11.568
.alpha.-Farnesene	2018	15.745
.alpha.-Farnesene	2019	15.707
.alpha.-Farnesene	2020	15.6845
.beta.-Myrcene	2018	8.159
.beta.-Myrcene	2019	8.178
.beta.-Myrcene	2020	8.156
.beta.-Ocimene	2018	9.137
.beta.-Ocimene	2019	9.15
.beta.-Ocimene	2020	9.14
.gamma.-Terpinene	2018	9.297
.gamma.-Terpinene	2019	9.51
.gamma.-Terpinene	2020	9.284
1,3,8-p-Menthatriene	2018	10.491
1,3,8-p-Menthatriene	2019	10.505500000000001
1,3,8-p-Menthatriene	2020	10.483
1,4,7,-Cycloundecatriene, 1,5,9,9-tetramethyl-, Z,Z,Z-	2018	15.249
1,4,7,-Cycloundecatriene, 1,5,9,9-tetramethyl-, Z,Z,Z-	2019	15.271
1,4,7,-Cycloundecatriene, 1,5,9,9-tetramethyl-, Z,Z,Z-	2020	15.248
