Filename	(E)-hex-2-enal	3-methylbutanal oxime	a-pinene	b-myrcene	(Z)-b-ocimene	(E)-b-ocimene	g-terpinene	methyl benzoate	linalool	(3E)-4,8-dimethylnona-1,3,7-triene	2-methylbenzonitrile	a-campholenal	Decanal	Caprolactam	Nonanoic acid	indole	a-copaene	petasitene	(E)-a-bergamotene	b-caryophyllene	(E)-b-bergamotene	a-farnesene	pseudoionone	trans-Geranylgeraniol	(Z)-hex-3-en-1-ol	[(E)-hex-3-enyl] acetate	[(E)-hex-3-enyl] butanoate	[(Z)-hex-3-enyl] butanoate	a-terpineol	(Z)-a-bergamotene	a-humulene	(2E)-2,7-dimethylocta-2,6-dien-1-ol	benzaldehyde	limonene	methyl salicylate	(E)-4-oxohex-2-enal	p-mentha-1,3,8-triene	cosmene	(4E,6Z)-alloocimene	furan-3-carbaldehyde	sabinene	3-carene	b-caryophyllene oxide	[(Z)-hex-3-enyl] 2-methylbutanoate	2-butyloctan-1-ol	hexan-1-ol	verbenone	3-methylbutan-1-ol
3C94July16_07162018.qgd	8101	0	10190	0	4833	3424	3424	5558	0	0	3712	0	173751	0	0	7291	0	17865	0	0	6837	0	4941	260190	39676	9543	0	0	1237	1744	4386	0	241501	28448	44349	0	0	0	710	15379	2856	2576	0	0	0	34685	0	0
4a90July11_07182018.qgd	18180	3636	61946	31355	94752	284167	2383	5360	0	9514	3453	0	92633	0	85335	6084	5586	76823	16358	5542	5447	47713	0	64676	158148	50379	20307	3336	1700	0	3587	27794	233776	31458	35192	31194	11948	0	13918	22575	8992	4007	0	7042	0	60811	0	0
1B655July11_07182018.qgd	20415	0	62255	15097	46091	0	1388	17037	54431	9545	3444	0	152997	0	0	17662	0	0	0	7516	9055	0	1752	65213	413667	76591	13758	3334	5394	7231	2418	16219	315501	36055	151491	29717	0	0	440	20142	11346	12722	0	0	0	64277	432	0
2D212July09_07182018.qgd	10325	0	104680	35304	18247	0	0	14983	0	0	2201	0	488314	0	0	2159	3567	55604	0	0	0	0	0	82300	86389	21818	6013	0	0	29069	0	42745	830371	154260	169873	15583	0	0	1583	42781	35025	45641	0	0	69255	83087	2729	3730
3B601July09_07182018.qgd	0	0	108890	96024	21584	46247	29542	25646	0	57792	0	0	1066941	0	0	0	2113	0	3439	4258	78769	0	39535	0	74629	0	0	35174	0	0	0	108435	1030133	346533	506302	17596	0	0	1850	61262	56630	92641	0	0	249719	144405	8579	0
3A127July09_07182018.qgd	0	0	70001	69458	24296	0	12496	37736	195957	79874	5225	0	910552	0	0	32902	3308	0	5545	36774	99020	0	63705	0	210331	21689	0	0	0	11811	24795	172895	1249514	318665	1825269	16592	0	0	2683	69209	51962	80176	0	0	259223	70683	10568	0
5A180July09_07182018.qgd	0	0	77289	0	3987	0	0	11221	0	15403	1873	0	178529	0	38517	11176	2230	18667	0	4164	14360	0	6545	61590	67501	11205	0	0	4185	0	859	13097	300086	35814	113113	27679	0	0	751	40186	9212	12140	0	0	53007	55480	1613	0
2D218July11_07182018.qgd	10463	0	52269	23398	9027	0	2207	8800	106399	9700	6417	0	197356	0	255439	68276	2092	54020	0	41340	9679	0	0	33654	279455	17027	1969	0	2832	0	14948	23076	365147	75068	209595	16317	0	0	1730	19187	5577	1175	0	0	41278	48983	0	0
5D228July06_07182018.qgd	13632	0	311948	83805	14471	31223	5622	3152	0	7480	3482	0	159470	0	0	4222	4747	0	7378	2268	4734	17250	0	38498	350193	22106	68819	16726	10232	35900	1641	0	123596	92717	30368	40093	2642	0	2686	11745	10569	9619	2075	40508	21123	0	3462	4752
1D29_July24_07252018.qgd	2491	0	130142	7294	3965	15303	0	2855	0	3551	1654	0	93605	209801	0	1251	0	12771	0	0	10434	1976	0	2342	26154	0	4053	1733	1964	1184	684	6625	114043	10361	27613	4805	0	0	729	5430	2220	493	1181	0	0	27143	249	1719
1A253July24_07252018.qgd	0	0	21160	6723	77062	12738	13176	8181	0	55923	2056	0	150482	974358	0	2295	0	0	0	1294	32806	0	34425	0	0	0	5930	0	0	0	0	8304	223424	90013	39271	6064	0	0	690	16184	12951	18476	0	0	0	0	2829	0
2C258July24_07252018.qgd	12299	0	74077	12671	4716	17323	1634	5357	0	0	6703	0	126636	62718	0	5431	1347	198528	0	9789	6873	0	0	9733	89338	30822	4126	0	7978	822	0	12722	389613	13588	17151	12532	0	0	867	10115	3800	2509	0	0	0	97243	868	7009
3C147July24_07252018.qgd	12327	0	72001	9164	2582	6801	406	1983	5100	0	3744	0	131142	2112162	0	1225	1836	81343	0	971	7167	0	0	0	83333	23625	5471	0	5372	1104	0	19932	94459	11284	10460	8933	0	0	358	8003	5771	6071	0	0	14207	0	1016	5262
5C216July24_07252018.qgd	12473	0	22403	8994	10258	45293	0	7858	30722	9179	1701	0	99309	595631	0	3419	966	31462	0	8805	8650	2491	4932	0	144462	10959	5450	13550	0	0	5695	0	219818	18441	132775	5467	0	0	2060	20233	3937	5192	0	7170	0	0	0	14703
3C98July24_07252018.qgd	9162	0	220750	4056	1802	0	757	3828	0	0	1260	0	72801	1352429	0	4768	0	15286	0	1383	4824	0	0	0	33558	4745	0	1820	1397	2598	0	5237	146302	19105	14950	7339	0	0	117	7064	4579	4579	0	0	0	13071	308	0
2D206_July24_07262018.qgd	8171	0	153340	33991	3843	0	2334	3923	0	12279	1618	0	125439	186779	0	1178	2352	138538	0	108448	9148	0	5257	0	92723	21690	15240	0	5591	7829	25320	0	174125	49066	22828	8808	0	0	0	12598	9747	10105	1857	0	25732	52005	0	7328
3B601_July24_07262018.qgd	6787	0	65929	11366	2128	0	1578	5021	0	4486	1938	5001	127135	63742	38915	0	0	0	3924	18539	7330	11935	0	0	39035	27292	15595	6975	1881	0	5342	11199	204539	21388	42169	6233	0	0	614	14031	6416	7792	0	5440	0	25635	0	5116
3B833_July24_07262018.qgd	0	0	3046	0	3632	0	0	3552	0	1441	7386	0	33589	38886	3774	23002	0	367	0	0	3357	0	0	4257	432	0	0	0	0	0	1739	3608	46593	4001	11534	0	0	0	0	8847	478	502	0	0	0	0	0	0
2D200_July24_07262018.qgd	0	0	67882	3883	5627	1227	1227	1352	0	4775	3847	0	54640	0	0	3308	501	0	322	14181	6262	557	0	0	0	0	0	0	760	0	3904	5547	169458	5654	4522	0	0	0	0	15871	2116	1181	0	0	17281	12977	469	0
3D858_July16_07262018.qgd	9601	0	94335	17200	5513	0	1662	14483	32450	9987	5798	0	149971	0	0	9080	3437	0	305	22453	0	0	0	0	57131	3662	2633	0	4402	0	8689	17568	350978	37020	150846	9117	0	0	1025	19809	4082	2269	0	0	59060	27192	0	0
6D55_July16_07262018.qgd	0	0	509076	47923	129713	7629	16535	16073	0	23829	2338	0	186889	0	0	0	2988	0	0	31797	181626	0	12991	0	0	0	12441	0	12030	0	45800	0	497254	0	52001	0	0	0	1357	45139	29320	57569	0	0	95620	0	3943	0
3B601_July16_07262018.qgd	20650	0	291809	10685	38832	0	0	4995	19129	3595	4545	0	84495	0	0	15218	0	0	0	5376	10365	0	0	3885	313423	24871	5571	5376	2502	0	0	11903	276145	48846	55959	35195	0	0	452	23755	7300	3114	0	0	28979	47291	821	6673
