name	value	Name
(E)-hex-2-enal	0.1388738409204986	2-Hexenal, (E)-
3-methylbutanal oxime	0.0240455040498078	Butanal, 3-methyl-, oxime
a-pinene	0.23687971172033873	(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene
b-myrcene	0.1801023274091933	.beta.-Myrcene
(Z)-b-ocimene	0.10141260992176454	trans-.beta.-Ocimene
(E)-b-ocimene	0.059699686846857766	.beta.-Ocimene
g-terpinene	0.09857062207327787	.gamma.-Terpinene
methyl benzoate	0.14681609821432778	Benzoic acid, methyl ester
linalool	0.12020766048396056	Linalool
(3E)-4,8-dimethylnona-1,3,7-triene	0.14456656345884855	(E)-4,8-Dimethylnona-1,3,7-triene
2-methylbenzonitrile	0.1568853045105173	Benzonitrile, 2-methyl-
2-methylbenzonitrile	0.1568853045105173	Benzyl nitrile
a-campholenal	0.0802705715772855	.alpha.-Campholenal
Decanal	0.07202403480935349	NA
Caprolactam	0.12220864371239065	NA
Nonanoic acid	0.14650013651753485	NA
indole	0.23786125754749685	Indole
indole	0.23786125754749685	Indolizine
a-copaene	0.06208839536575782	Copaene
a-copaene	0.06208839536575782	.alfa.-Copaene
petasitene	0.23500480390230735	Petasitene
(E)-a-bergamotene	0.043209264087409015	trans-.alpha.-Bergamotene
b-caryophyllene	0.05117441885784642	Caryophyllene
b-caryophyllene	0.05117441885784642	Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-,[1R-(1R*,4Z,9S*)]-
b-caryophyllene	0.05117441885784642	Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-
(E)-b-bergamotene	0.12242157284056725	(1S,5S,6R)-6-Methyl-2-methylene-6-(4-methylpent-3-en-1-yl)bicyclo[3.1.1]heptane
a-farnesene	0.07630119868267264	.alpha.-Farnesene
pseudoionone	0.17142112187648614	3,5,9-Undecatrien-2-one, 6,10-dimethyl-
trans-Geranylgeraniol	0.05124701960145422	NA
(Z)-hex-3-en-1-ol	0.17547977656227898	3-Hexen-1-ol
(Z)-hex-3-en-1-ol	0.17547977656227898	4-Hexen-1-ol, (Z)-
(Z)-hex-3-en-1-ol	0.17547977656227898	3-Hexen-1-ol, (E)-
[(E)-hex-3-enyl] acetate	0.21049197062529518	3-Hexen-1-ol, acetate, (E)-
[(E)-hex-3-enyl] butanoate	0.06168713350202074	Butanoic acid, 3-hexenyl ester, (E)-
[(Z)-hex-3-enyl] butanoate	0.031510767267152386	Butanoic acid, 3-hexenyl ester, (Z)-
a-terpineol	0.059228163503993694	L-.alpha.-Terpineol
(Z)-a-bergamotene	0.11750740707399629	cis-.alpha.-Bergamotene
a-humulene	0.10362265355613083	1,4,7,-Cycloundecatriene, 1,5,9,9-tetramethyl-, Z,Z,Z-
(2E)-2,7-dimethylocta-2,6-dien-1-ol	0.05168690549909746	2,6-Octadien-1-ol, 2,7-dimethyl-
benzaldehyde	0.18194635206840817	Benzaldehyde
limonene	0.14217519266906845	D-Limonene
methyl salicylate	0.21675495077398174	Methyl salicylate
(E)-4-oxohex-2-enal	0.3310779716924673	(E)-4-Oxohex-2-enal
p-mentha-1,3,8-triene	0.10978716311146106	1,3,8-p-Menthatriene
cosmene	0.08136285127220119	2,6-Dimethyl-1,3,5,7-octatetraene, E,E-
(4E,6Z)-alloocimene	0.13773538634171045	2,4,6-Octatriene, 2,6-dimethyl-, (E,Z)-
furan-3-carbaldehyde	0.18397168617382456	3-Furaldehyde
sabinene	0.15571372089110286	Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)-
3-carene	0.09938120146985135	3-Carene
b-caryophyllene oxide	0.027143171860566622	Caryophyllene oxide
[(Z)-hex-3-enyl] 2-methylbutanoate	0.04853416029324534	cis-3-Hexenyl-.alpha.-methylbutyrate
2-butyloctan-1-ol	0.09620515884392519	1-Octanol, 2-butyl-
hexan-1-ol	0.09548016402866885	1-Hexanol
verbenone	0.05472028832932227	Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-
verbenone	0.05472028832932227	Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-, (1S)-
3-methylbutan-1-ol	0.06298717244850918	1-Butanol, 3-methyl-
3-methylbutan-1-ol	0.06298717244850918	1-Pentanol
