name,mean,sd,n_plants
(E)-4-oxohex-2-enal,1.215656653580341,2.33883185374311,374
(Z)-a-bergamotene,0.6571394240092403,0.8888202498445122,374
(Z)-b-ocimene,15.623792922272687,23.794890963895398,374
2-methylbenzonitrile,0.28875886252938454,0.19973760240888114,374
3-carene,10.143947632525046,13.536697171979464,374
a-copaene,0.5377909021097356,1.2784430971147054,374
a-pinene,42.16212317815064,71.31048245327466,374
b-caryophyllene,4.05668643572113,10.31738655187452,374
hexan-1-ol,4.948155487613739,4.9999834731779735,374
limonene,16.70543637073063,21.043807776739936,374
methyl benzoate,0.6061002955437145,0.6386441634640341,374
sabinene,5.910559385912414,7.843259636843011,374
